LexicalDiversity,title,author
0.05088301198008541,Pride and Prejudice,Jane Austen
0.1032022655484152,Grimms' Fairy Tales,The Brothers Grimm
0.06610705315125444,A Tale of Two Cities,Charles Dickens
0.10865027254707631,The Prince,Nicolo Machiavelli
0.09731492553538428,Moby Dick; or The Whale,Herman Melville
0.11735124490082993,The Kama Sutra of Vatsyayana,Vatsyayana
0.08842105263157894,A Modest Proposal,Jonathan Swift
0.08976363779545275,The Adventures of Sherlock Holmes,Arthur Conan Doyle
0.0817506862357815,The Importance of Being Earnest,Oscar Wilde
0.050720508019213545,Great Expectations,Charles Dickens
0.06809209171515819,Leaves of Grass,Walt Whitman
0.10253022726892654,Alice's Adventures in Wonderland,Lewis Carroll
0.08161947764771374,Les Miserables,Victor Hugo
0.0914328829137801,"Steam, Its Generation and Use",Babcock & Wilcox Co.
0.24612033759869317,Dracula,Bram Stoker
0.07284542518337218,Beowulf,Unknown
0.11928779364971905,Jane Eyre,Charlotte Bronte
0.05568806297451489,The Narrative of the Life of Frederick Douglass,Frederick Douglass
0.10384456441170489,Emma,Jane Austen
0.04177720288376979,Dubliners,James Joyce
0.09046431526917313,The Divine Comedy,Dante Alighieri
0.05783998018330443,Gulliver's Travels,Jonathan Swift
0.16899718837863167,Adventures of Huckleberry Finn,Mark Twain (Samuel Clemens)
0.06366479696021919,The Romance of Lust,Anonymous
0.11914709978618647,The Yellow Wallpaper,Charlotte Perkins Gilman
0.04576336367132419,Peter Pan,James M. Barrie
0.10063905381882347,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson
0.09629849707966782,The Awakening and Selected Short Stories,Kate Chopin
0.07357699899686114,Heart of Darkness,Joseph Conrad
0.0429549134416088,Sense and Sensibility,Jane Austen
0.18901224025049815,The Iliad of Homer,Homer
0.09558013695350286,The Republic,Plato
0.1415838988728046,Wuthering Heights,Emily Bronte
0.09892554670711667,Ulysses,James Joyce
0.13275939268123907,Beyond Good and Evil,Friedrich Nietzsche
0.05214003481528557,The Hound of the Baskervilles,A. Conan Doyle
0.06641119068559702,Songs of Innocence and Songs of Experience,William Blake
